项目名称,项目编号,开标时间,工程分类,是否联合体投标,资格审查方式,预算,备注,企业资质,人员资质,招标公告网址
杭新景（杭千）高速公路桐庐服务区、建德服务区2023-2025年度绿化管理养护项目,A3301010060280116001231,,公路(交通),否,资格后审,135.7645,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=133a48ba-b08f-40b8-8b64-e5a050aa14bb&IsInner=0&IsHistory=&ModuleID=22
淳安县2023年农村公路桥梁检查及公路路况检查,A3301270160280029001231,2023/7/26 8:45,公路(交通),否,资格后审,175,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=00f9c3d5-18b1-4ca3-9f25-1c2e718a8e3c&IsInner=0&IsHistory=&ModuleID=22
运河映巷祈居酒店项目室内装修工程,A3301020070507502001211,2023/7/26 9:30,房屋建筑,否,资格后审,1108.9762,1、投标单位须完成市场主体注册入库2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=455d7e9f-7b30-4ea6-9169-c118f0ba3ea7&IsInner=0&IsHistory=&ModuleID=22
之江度假区XH1705-05地块共有产权房项目方案设计及初步设计,A3301060110507497001211,2023/7/26 9:15,房屋建筑,否,资格后审,678.1299,总平规划与单体建筑（地下室）方案设计、建筑结构安装工程扩初设计及设计服务（BIM设计服务）。包括完成方案设计（BIM设计服务）、初步设计（含日照分析、三维景观分析、交评报告、概算编制、面积预测绘），以及各阶段的设计优化；设计人负责的相关评估类项目（包含日照分析、三维景观、交评报告、面积预测绘报告）、基坑围护方案设计等内容。包括方案评审修改、初步设计审查和配合施工图审查、现场施工巡检。,具备 设计综合类 甲级 或者具备 设计专业类  建筑行业 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=32ee4375-1b9b-4c47-baeb-f618409e2ca6&IsInner=0&IsHistory=&ModuleID=22
余杭区第五人民医院建设项目,A3301100140507476001211,2023/7/25 10:00,房屋建筑,是,资格后审,2101.9526,,同时具备 专业承包企业建筑装修装饰工程(新) 二级、专业承包企业特种工程（结构补强）(新),具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=f45a1dc1-f018-43f2-b026-2df5fb56adcf&IsInner=0&IsHistory=&ModuleID=22
余杭鸬鸟温泉文旅综合体设计,A3301100140507506001211,2023/7/25 9:30,房屋建筑,是,资格后审,4141.15,,具备设计综合类甲级或者同时具备设计专项类风景园林工程设计甲级、设计专业类建筑行业建筑工程甲级或者同时具备设计专业类建筑行业甲级、设计专项类风景园林工程设计甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bec02dfe-b45a-4214-8d50-9c8c434d4cf3&IsInner=0&IsHistory=&ModuleID=22
知谷新材料产业园区及基础设施建设项目全过程工程咨询,A3301060110507205001211,2023/7/26 9:15,房屋建筑,是,资格后审,443.4675,,具备 综合 或者具备 房屋建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=77a1d414-6a3d-41a9-bea9-07acad7427ae&IsInner=0&IsHistory=&ModuleID=22
南湖酒厂安置房南侧配套道路有机更新工程,A3301100140507505001221,2023/7/26 9:30,市政公用,否,资格后审,1274.4394,,具备施工总承包企业市政公用工程(新)三级,具备市政公用工程二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=43e8ba88-aaa8-428d-9def-68a79f2bd464&IsInner=0&IsHistory=&ModuleID=22
储运路北新华河西公共租赁房项目设计,A3301100140507549001211,2023/7/26 9:30,房屋建筑,否,资格后审,847.609,,具备设计综合类甲级或者具备设计专业类建筑行业甲级或者具备设计专业类建筑行业建筑工程甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1dc1dd23-ecf3-49f9-9751-e5e3a2fa0921&IsInner=0&IsHistory=&ModuleID=22
菜鸟智谷产业园一期A4号楼装修工程,A3301100140507547001211,2023/7/25 9:30,房屋建筑,否,资格后审,1915.9478,,具备专业承包企业建筑装修装饰工程(新)二级,具备建筑工程一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a9901e2b-ddfb-4027-9d39-b570685c7b59&IsInner=0&IsHistory=&ModuleID=22
秋涛北路313号装修改造工程项目,A3301020070507510001211,2023/7/26 9:30,房屋建筑,否,资格后审,592.9932,1、投标单位须完成市场主体注册入库2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=fad20d33-7a22-4aba-9c9c-2022cb767404&IsInner=0&IsHistory=&ModuleID=22
临半路(半山路-高线路)道路工程天子岭专用供水管DN300迁改工程,A3301010060507503001221,2023/7/25 9:30,市政公用,否,资格后审,612.2099,投标单位须完成市场主体注册入库。,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=15c937ae-65ae-4594-8de7-b50558d82196&IsInner=0&IsHistory=&ModuleID=22
闻涛路沿线马拉松航拍可视范围地块景观绿化提升,A3301080120400015001281,2023/7/25 9:15,园林绿化,否,资格后审,3247.3646,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=9535b070-4a7a-4995-8dd9-1bc490943d5a&IsInner=0&IsHistory=&ModuleID=22
农村生活污水扩面提升工程（二期）,A3301820190507271001221,2023/7/27 8:45,市政公用,否,资格后审,10808.2035,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e55792b0-53c8-419b-b198-c26e28c85214&IsInner=0&IsHistory=&ModuleID=22
长庆街道浙大御跸未来社区设计-施工工程总承包,A3301050100507472001211,2023/8/7 9:30,房屋建筑,是,资格后审,2299.0307,可在指定电子保单平台内申请投标保证金保函，承保金额须大于或等于本项目投标保证金金额。电子保函生成流程: 投标人登录杭州市公共资源交易平台一交易主体进入“网上投标”模块点击“查看线上保函状态”一一点击进入电子保函办理平台一一选择保险公司投保一一确认收费标准一一填写经办人相关信息并签订保函申请协议一一使用企业基本账户支付相关费用一一电子保函生成 一一登录杭州公共资源交易平台查看出函状态。,同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级 或者同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=88acfda0-5d7b-4dfb-82a1-ad544be37ced&IsInner=0&IsHistory=&ModuleID=22
2023年度（新街）老旧小区综合改造提升-红垦社区EPC工程总承包,A3301090130507465001211,2023/8/4 9:30,房屋建筑,是,资格后审,1282.8526,投标单位需完成市场主体注册入库。,同时具备 设计综合类 甲级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 建筑工程 乙级、施工总承包企业建筑工程(新) 三级 或者同时具备 施工总承包企业建筑工程(新) 三级、设计专业类 建筑行业 乙级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e13586ba-0853-48c2-888b-267e15ee3edb&IsInner=0&IsHistory=&ModuleID=22
萧山党湾未来交通小镇项目基础设施配套一期工程-民心路（梅林大道-亚都路）,A3301090130507407001221,2023/7/25 9:00,市政公用,否,资格后审,5569.1442,投标单位需完成市场主体注册入库。,具备 施工总承包企业市政公用工程(新) 一级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d523c572-256a-46c8-8298-359917ee83f2&IsInner=0&IsHistory=&ModuleID=22
吉鸿路（紫金港北路）道侧等绿地养护,A3301010060400131001281,2023/7/25 9:30,园林绿化,否,资格后审,900.1127,投标单位须完成市场主体注册入库。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=f41b3249-95e9-432a-ac7c-3fb1ded1d4ca&IsInner=0&IsHistory=&ModuleID=22
分水创客中心一桩一勘项目,A3301220150507393001211,2023/7/24 9:00,房屋建筑,否,资格后审,98.1444,勘察综合类甲级可承担各种基本建设工程建设的地质工程、地质构造勘测、建筑工程测量业务流程(深海工程勘察以外)，其经营规模不受到限制(岩土工程工程勘察丙级新项目以外)。 &lt;br&gt;本次招标范围包括工程地质勘察，出具符合要求的地质勘察报告，满足桩基设计、施工要求，提供后续配合服务要求，具体以发包人要求的地质勘察工作为准。,具备 勘察综合类 甲级 或者具备 勘察专业类 岩土工程 甲级 或者具备 勘察专业类 岩土工程 岩土工程勘察 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=bfbe33bb-b30c-491f-9aa7-bce37e5d7792&IsInner=0&IsHistory=&ModuleID=22
浙西天路户外圈旅游设施提升项目（昌化镇域）--昌化镇环境综合整治改造及公园提升工程与昌化重点区块（B）综合改造工程,A3301850210507508001221,2023/7/25 9:00,市政公用,否,资格后审,1007.9719,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=130f9198-d933-4e83-9667-7efe0957be10&IsInner=0&IsHistory=&ModuleID=22
浙西天路户外圈旅游设施提升项目（昌化镇域）--昌化镇环境综合整治改造及公园提升工程与昌化重点区块（B）综合改造工程,A3301850210507508001221,2023/7/25 9:00,市政公用,否,资格后审,1007.9719,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=130f9198-d933-4e83-9667-7efe0957be10&IsInner=0&IsHistory=&ModuleID=22
经五路（纬十路-纬十一路）,A3301300180507542001221,2023/7/25 9:30,市政公用,否,资格后审,1135.6042,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=08328f9a-48d8-41c1-91d5-77d6e0570ccb&IsInner=0&IsHistory=&ModuleID=22
浙西天路户外圈旅游设施提升项目（河桥镇域）-河桥镇重点区块（下源）综合改造工程,A3301850210507487001221,2023/7/26 9:00,市政公用,否,资格后审,338.0007,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=64aa750c-75ef-41cf-be46-a25495938abc&IsInner=0&IsHistory=&ModuleID=22
金峰三路（青六路-红泉路）,A3301300180507544001221,2023/7/24 9:30,市政公用,否,资格后审,1300.9653,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7ff18cb8-2c2c-45ac-a0a2-8327f64124c4&IsInner=0&IsHistory=&ModuleID=22
合村乡合干畈田园综合体配套项目（一期）,A3301220150507495001221,2023/7/26 10:00,市政公用,否,资格后审,421.553,施工总承包企业市政公用工程（新）三级能承接单项合同金额2500万元以下的市政综合工程。,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=206fb28e-6d30-47b4-b0ba-78e7b1360374&IsInner=0&IsHistory=&ModuleID=22
河庄街道围中村农业园区美丽田园项目-渠道排水沟提升工程,A3301300180507349001221,2023/7/25 9:30,市政公用,否,资格后审,631.062,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=96a914a2-0a2e-4c96-8a21-7013f706c89d&IsInner=0&IsHistory=&ModuleID=22
余杭区临床技能培训中心建设项目,A3301100140507525001211,2023/7/25 9:30,房屋建筑,是,资格后审,684.8232,,同时具备 专业承包企业特种工程（结构补强）(新) 、专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=8b9db692-b7df-41ca-89e0-c389ea0c21d7&IsInner=0&IsHistory=&ModuleID=22
西湖区教育发展研究院2023年室内外维修工程,A3301060110507516001291,2023/7/25 9:00,其他,否,资格后审,779.1893,,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=dc638fce-9b6b-4904-b020-2851a3672de4&IsInner=0&IsHistory=&ModuleID=22
石桥单元XC0802-R22-13地块公共服务设施用房建筑师负责制服务项目,A3301050100507454001211,2023/7/25 9:30,房屋建筑,是,资格后审,114.3883,可在指定电子保单平台内申请投标保证金保函，承保金额须大于或等于本项目投标保证金金额。电子保函生成流程: 投标人登录杭州市公共资源交易平台一交易主体进入“网上投标”模块点击“查看线上保函状态”一一点击进入电子保函办理平台一一选择保险公司投保一一确认收费标准一一填写经办人相关信息并签订保函申请协议一一使用企业基本账户支付相关费用一一电子保函生成 一一登录杭州公共资源交易平台查看出函状态。,同时具备 设计综合类 甲级、房屋建筑工程 丙级 或者同时具备 房屋建筑工程 丙级、设计专业类 建筑行业 建筑工程 丙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1c098552-956f-45ea-ab5b-b6e22db85363&IsInner=0&IsHistory=&ModuleID=22
2022年桐庐县农村生活污水治理“强基增效双提标”项目（桐君片区）,A3301220150507535001221,2023/7/25 9:30,市政公用,否,资格后审,1064.8208,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c5f787f6-9617-40eb-be4c-9134a7293351&IsInner=0&IsHistory=&ModuleID=22
2022年桐庐县农村生活污水治理“强基增效双提标”项目（分水片区）,A3301220150507537001221,2023/7/27 9:30,市政公用,否,资格后审,6926.3727,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=0ef3c1d9-991d-4d0f-9447-3b03cf5848d3&IsInner=0&IsHistory=&ModuleID=22
余政工出[2022]19号电气机械和器材制造项目,A3301100140507345001211,2023/7/25 9:30,房屋建筑,否,资格后审,17206.3432,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=47e8673a-de04-44e3-9bc2-502631804ddf&IsInner=0&IsHistory=&ModuleID=22
苕溪两岸城区段综合整治及配套设施提升工程-衣锦街(苕溪南街-天目路)综合整治工程总承包（EPC）项目,A3301850210507553001211,2023/8/3 9:00,房屋建筑,是,资格后审,11857.4058,,同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专项类 风景园林工程设计 甲级、设计专业类 建筑行业 建筑工程 甲级、设计专业类 市政公用行业 道路工程设计 乙级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专项类 风景园林工程设计 甲级、设计专业类 市政公用行业 乙级、设计专业类 建筑行业 建筑工程 甲级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专项类 风景园林工程设计 甲级、设计专业类 建筑行业 建筑工程 甲级、设计专业类 市政行业（燃气工程、轨道交通工程除外） 乙级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7e0e7b06-284c-4b60-b43b-738888607da4&IsInner=0&IsHistory=&ModuleID=22
临安区秘境寻源县域风貌样板区建设项目—高虹镇中苕溪两侧及西区块改造项目(一期),A3301850210507507001211,2023/7/26 9:00,房屋建筑,否,资格后审,228.075,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=77dd96c3-bbc1-4854-b65a-a9dae67eb65e&IsInner=0&IsHistory=&ModuleID=22
2022年桐庐县农村生活污水治理“强基增效双提标”项目（横村片区）,A3301220150507536001221,2023/7/26 9:30,市政公用,否,资格后审,2486.3049,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=2bf49c65-be3b-4237-85f8-6436270eaf26&IsInner=0&IsHistory=&ModuleID=22
杭州市第二水源输水通道工程江南线过江段（一阶段）修复工程（EPC）工程总承包项目,A3301090130507357001221,2023/8/3 9:30,市政公用,是,资格后审,24328.5279,投标单位需完成市场主体注册入库。,同时具备 设计综合类 甲级、施工总承包企业市政公用工程(新) 一级 或者同时具备 设计专业类 市政公用行业 甲级、施工总承包企业市政公用工程(新) 一级 或者同时具备 设计专业类 市政行业（燃气工程、轨道交通工程除外） 甲级、施工总承包企业市政公用工程(新) 一级 或者同时具备 施工总承包企业市政公用工程(新) 一级、设计专业类 市政公用行业 城市隧道工程 甲级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=cb26d1eb-d810-47b8-8d5e-97842727e46f&IsInner=0&IsHistory=&ModuleID=22
2022年桐庐县农村生活污水治理“强基增效双提标”项目（江南片区）,A3301220150507533001221,2023/7/24 10:00,市政公用,否,资格后审,1306.7465,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a25c5c7f-f45a-4c22-a1e3-304c0ed74240&IsInner=0&IsHistory=&ModuleID=22
桐庐公卫应急临床中心项目幕墙工程,A3301220150507528001211,2023/7/25 9:00,房屋建筑,否,资格后审,850.8531,幕墙面积10271.87平方米，其中单体最大面积5718.78平方米（病房楼）；百叶窗1037平方米；总面积11308.87平方米；高度30米以内，故选择专业承包企业建筑幕墙工程(新)二级资质。,具备 专业承包企业建筑幕墙工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=7c80d1af-acc9-4c17-8237-338a7f1f71ed&IsInner=0&IsHistory=&ModuleID=22
2023年西湖区雨水管道缺陷修复和美丽河道提升改造工程,A3301060110507337001221,2023/7/24 9:00,市政公用,否,资格后审,837.1273,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=22a9ff9f-4aa6-423d-8e91-6be173121ef0&IsInner=0&IsHistory=&ModuleID=22
淳安县省级革命老区乡村振兴示范区--白马红色旅游共富基地项目,A3301270160507445001211,2023/7/24 8:45,房屋建筑,否,资格后审,722.0102,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=17765e10-302b-44b1-b724-8606228284c8&IsInner=0&IsHistory=&ModuleID=22
淳安县省级革命老区乡村振兴示范区--白马红色文旅综服中心（白马军旅营地）项目,A3301270160507444001211,2023/7/25 8:45,房屋建筑,否,资格后审,1044.448,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=560ea968-0ae0-4c01-833d-a860bbc6e217&IsInner=0&IsHistory=&ModuleID=22
杨家牌楼未来社区提升改造项目,A3301060110507350001211,2023/7/24 9:00,房屋建筑,否,资格后审,1769.5878,,具备 施工总承包企业建筑工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a09444e7-6530-423e-99f2-2ea536355e9b&IsInner=0&IsHistory=&ModuleID=22
桐庐县富春江镇渡济村原杭拖地块建设用地复垦项目,A3301220150180054001291,2023/7/24 9:30,其他,否,资格后审,1500,,具备 施工总承包企业水利水电工程(新) 三级 或者具备 施工总承包企业市政公用工程(新) 三级,具备 水利水电工程 二级 或者具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=615371e8-fa11-4b01-9a79-a12b6c37923e&IsInner=0&IsHistory=&ModuleID=22
2023 年临平区运河街道“四好农村路”建设项目,A3301131280280031001231,2023/7/24 9:30,公路(交通),否,资格后审,2417,,具备 施工总承包企业公路工程(新) 三级,具备 公路工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=ae4588bd-c8ca-4740-9fbc-7c84605ed866&IsInner=0&IsHistory=&ModuleID=22
崇贤街道崇贤村小学项目二期,A3301131280507431001211,2023/7/25 9:30,房屋建筑,否,资格后审,5177.4945,,具备施工总承包企业建筑工程(新)三级,具备建筑工程二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=644981f2-9ddf-4839-b866-9f895553f426&IsInner=0&IsHistory=&ModuleID=22
景芳三堡单元运河东路(钱江路-之江路)道路工程,A3301010060507240001221,,市政公用,否,资格后审,4645.2453,投标单位须完成市场主体注册入库。,具备 施工总承包企业市政公用工程(新) 一级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c0d3396c-fdfc-4865-bfcc-12fe4d71617e&IsInner=0&IsHistory=&ModuleID=22
临平政工出[2023]14号年产10台套燃气轮机组项目EPC工程总承包,A3301131280507538001211,2023/7/31 9:30,房屋建筑,是,资格后审,22148.3976,"拟派项目负责人具有注册建筑师一级或注册结构师一级或注册建造师（建筑工程）一级资格；拟派项目负责人可以兼任本项目施工负责人或设计负责人，但投标截止日存在在其他在建合同工程中担任工程总承包项目负责人或施工负责人的，不得以拟派项目负责人的身份参加本次投标，在建合同的开始时间为合同工程中标通知书发出之日（不通过招标方式的，开始时间为合同签订之日），结束时间为该合同工程通过验收或合同解除之日；（2）拟派设计负责人具有一级注册建筑师或一级注册结构师资格（联合体投标的,注册在设计单位）；拟派施工负责人具有注册建造师（建筑工程）一级资格(联合体投标的,注册在施工单位)，同时具有“三类人员”B类证书。如在投标截止日存在在其他任何在建合同工程上担任项目施工负责人的，不得以拟派项目施工负责人的身份参加本次投标，在建合同的开始时间为合同工程中标通知书发出之日（不通过招标方式的，开始时间为合同签订之日），结束时间为该合同工程通过验收或合同解除之日。",同时具备 设计综合类 、施工总承包企业建筑工程(新) 二级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计专业类 建筑行业 建筑工程 甲级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=ef09983d-ec6e-4ee2-9f1d-7ddcb5cfd017&IsInner=0&IsHistory=&ModuleID=22
之江家园未来社区提升改造设计-采购-施工（EPC）总承包项目,A3301060110507280001211,2023/7/31 9:15,房屋建筑,是,资格后审,1945.1033,,同时具备 施工总承包企业建筑工程(新) 一级、设计综合类 甲级 或者同时具备 施工总承包企业建筑工程(新) 一级、设计专业类 建筑行业 建筑工程 甲级 或者同时具备 施工总承包企业建筑工程(新) 一级、设计专业类 建筑行业 甲级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=3c7cbf6f-57cf-4903-b848-1b2197b3fa8d&IsInner=0&IsHistory=&ModuleID=22
建德市心理辅导中心建设工程,A3301820190507481001291,2023/7/21 8:45,其他,否,资格后审,448.9557,,具备 专业承包企业建筑装修装饰工程(新) 二级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=736dd0ca-82a3-4dc0-b594-a0d2009e6d55&IsInner=0&IsHistory=&ModuleID=22
江映云邸前期物业管理,A3301080120190010001291,,房管,否,普通,100,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=4221268f-3b6b-40a9-a68a-354fc6c7e9a0&IsInner=0&IsHistory=&ModuleID=22
桐庐县浮桥埠桐江技校区块 A、B 地块暗渠迁改项目,A3301220150980034001251,2023/7/20 9:30,水利水电,否,资格后审,1568.9675,,具备 施工总承包企业水利水电工程(新) 三级,具备 水利水电工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=100cb110-ed22-43a0-961b-e2d3d9520a0c&IsInner=0&IsHistory=&ModuleID=22
D5-02-01地块青山湖科技城硬科技高新园方案设计及初步设计项目,A3301850210507469001211,2023/7/25 9:00,房屋建筑,否,资格后审,690,,具备 设计综合类 甲级 或者具备 设计专业类 建筑行业 建筑工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c06c7dd9-ae49-4d43-8004-c8615fe51396&IsInner=0&IsHistory=&ModuleID=22
机场东路益农先行段工程,A3301090130280016001231,2023/7/20 9:00,公路(交通),否,资格后审,7809,投标单位需完成市场主体注册入库。,具备 施工总承包企业公路工程(新) 三级,具备 公路工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=857f0088-551f-44b0-89bc-96ac44e93170&IsInner=0&IsHistory=&ModuleID=22
余政工出[2022]19号电气机械和器材制造监理,A3301100140507421001211,2023/7/20 9:30,房屋建筑,否,资格后审,303.2445,,同时具备综合、房屋建筑工程乙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=38eef23b-b871-40a5-8dc7-667d350ab3a5&IsInner=0&IsHistory=&ModuleID=22
北山街道金祝社区金祝新村、沿山河社区天目山路101、105号老旧小区提升改造项目（EPC）总承包,A3301060110507451001111,,房屋建筑,是,资格预审,4114.28,,同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 二级 或者同时具备 设计专业类 建筑行业 甲级、施工总承包企业建筑工程(新) 二级 或者同时具备 施工总承包企业建筑工程(新) 二级、设计综合类 甲级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=e1d9046c-7a7c-420f-a8b4-fa25ff652671&IsInner=0&IsHistory=&ModuleID=22
开发区东单元B1/B2-A22、G1/S42-A20地块场地整理项目,A3301300180507432001211,2023/7/20 9:30,房屋建筑,否,资格后审,1144.6976,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=965a64a5-7f3b-4149-828d-c4006ad770bf&IsInner=0&IsHistory=&ModuleID=22
松合路（围垦街-金乔街）工程,A3301300180507395001221,2023/7/20 9:30,市政公用,否,资格后审,1514.5183,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=304f0a59-213b-4274-bdf6-57901916eef9&IsInner=0&IsHistory=&ModuleID=22
映运轩,A3301010060190001065191,,房管,否,普通,100,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=201f4b51-5d79-48e1-a0bc-28956e4dea04&IsInner=0&IsHistory=&ModuleID=22
淳安县2023年农村公路大中修工程（鸠坑乡郑树线）,A3301270160280027001231,2023/7/20 8:45,公路(交通),否,资格后审,416.4593,,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=6f4dfb5e-4372-4d8d-8988-bbbc3d7fe9de&IsInner=0&IsHistory=&ModuleID=22
